id,TmStamp,H,u,u_e,u_n
series_1,2023-08-04 00:00:00,3.56627308,7.506163889669837,-1.3789673327956775,7.3784107661247615
series_1,2023-08-04 01:00:00,3.281496168,8.390926550658692,-1.1342685475328298,8.313909022874062
series_1,2023-08-04 02:00:00,3.633858384,8.221771610702442,-0.7013239987049404,8.191805238614572
series_1,2023-08-04 03:00:00,3.750328204,8.770738989987334,-0.14739068618096818,8.769500465597295
series_1,2023-08-04 04:00:00,4.109580184,8.63259571547789,-0.5072812730805685,8.617678022348537
series_1,2023-08-04 05:00:00,4.57513138,8.11352452063599,-1.4761537019985278,7.978110703358127
series_1,2023-08-04 06:00:00,4.8927166920000005,7.354228783492753,-1.325304639003026,7.233826692269477
series_1,2023-08-04 07:00:00,5.179790192,7.551232305642275,-2.3664173869133784,7.170856161204854
series_1,2023-08-04 08:00:00,5.063648456,7.701473476963164,-3.0257196727351157,7.082211108007922
series_1,2023-08-04 09:00:00,4.612204872,7.352886128210612,-3.0839216861280563,6.674905351258633
series_1,2023-08-04 10:00:00,4.298884652,7.596112924495186,-2.7976564549460985,7.0621561807836875
series_1,2023-08-04 11:00:00,4.378937148,7.1379710045765234,-2.4866413327878223,6.690832903626153
series_1,2023-08-04 12:00:00,4.257217984,7.230832234054609,-3.56354996619754,6.291744307857454
series_1,2023-08-04 13:00:00,4.496063136,7.946823299933288,-4.392536235371349,6.622509039730508
series_1,2023-08-04 14:00:00,4.564632692,8.30171576442905,-3.6256916082888067,7.468121918859783
series_1,2023-08-04 15:00:00,4.368438459999999,9.553137041346542,-4.935491173939912,8.179447059716725
series_1,2023-08-04 16:00:00,4.429462084,9.504033350931223,-5.583723950618638,7.690817692475928
series_1,2023-08-04 17:00:00,4.679790176,8.298045310101115,-3.996949492094513,7.271997712192745
series_1,2023-08-04 18:00:00,4.542651064,6.963729050015097,-3.351343528074194,6.104262350100901
series_1,2023-08-04 19:00:00,4.41437022,6.372073018338285,-5.050275234431976,3.885618947801988
series_1,2023-08-04 20:00:00,4.188320344,5.969594116888259,-4.4611516716815744,3.9666332931895276
series_1,2023-08-04 21:00:00,4.163385959999999,6.242105171360664,-4.938381069639936,3.81788807868296
series_1,2023-08-04 22:00:00,4.177165488,7.543056038107964,-5.606619952270714,5.046137840451542
series_1,2023-08-04 23:00:00,4.329724548000001,8.397847573013532,-6.664691113273703,5.109377283409378
series_1,2023-08-05 00:00:00,4.155840028,6.766338322724957,-4.7459431429237915,4.822795660372834
series_1,2023-08-05 01:00:00,4.145013256,5.831843205294375,-4.6970073734952775,3.45666268306139
series_1,2023-08-05 02:00:00,3.0081482576626084,8.174245760637119,-4.683067791016016,6.699788789211365
series_1,2023-08-05 03:00:00,3.731627416,6.78373550553968,-3.7547222533493185,5.649878601290749
series_1,2023-08-05 04:00:00,3.704724528,5.565480027251336,-2.9728865218768235,4.704945659811243
series_1,2023-08-05 05:00:00,3.452427932,5.861662177217547,5.163289967051787,2.7748009290695275
series_1,2023-08-05 06:00:00,3.872703536,3.94396580818645,-3.92184277487933,0.41715170534302776
series_1,2023-08-05 07:00:00,3.53182426,3.9932983398007385,-2.451028366211561,3.152600764239205
series_1,2023-08-05 08:00:00,3.612861008,3.1927393018087593,-2.212662318524024,2.301675414453171
series_1,2023-08-05 09:00:00,3.468504048,3.2158307040465686,-0.5688024373260129,3.16512731250745
series_1,2023-08-05 10:00:00,3.886811148,4.117477711910182,-2.35724366501782,3.3759480167518086
series_1,2023-08-05 11:00:00,3.759514556,4.599056557707301,-0.8891718871069281,4.512282634783556
series_1,2023-08-05 12:00:00,3.5413386959999995,5.319417301275773,-1.2977286324034638,5.158691774253649
series_1,2023-08-05 13:00:00,3.299868872,8.155790712791038,-1.943542016128886,7.920831180020833
series_1,2023-08-05 14:00:00,3.032808496,3.0416041227603587,-2.909334554874262,0.887202393711486
series_1,2023-08-05 15:00:00,2.933727128,3.103948928139203,-2.134695111946248,2.253347671250334
series_1,2023-08-05 16:00:00,3.102690388,3.974196543208923,-2.822928362802365,2.7973762032554204
series_1,2023-08-05 17:00:00,3.209973856,2.991696916658312,2.562847351584219,1.5433936288648482
series_1,2023-08-05 18:00:00,3.086286188,2.528434488184407,2.521774778043352,0.18339282937112533
series_1,2023-08-05 19:00:00,3.301837376,3.1878930716238885,3.1193169121269593,-0.6576657493182398
series_1,2023-08-05 20:00:00,3.060695636,2.316426507037129,2.2551824459358896,-0.5291350470785823
series_1,2023-08-05 21:00:00,3.208989604,2.5504735982406843,2.501168741480925,0.4990696363850534
series_1,2023-08-05 22:00:00,3.07086624,3.6181834637815813,2.460591255153652,2.652685856381011
series_1,2023-08-05 23:00:00,3.040682512,3.7474563927530724,2.0776276727458747,3.1187966700358056
series_1,2023-08-06 00:00:00,3.092847868,3.4350947645885825,1.9079530749964424,2.856499799635125
series_1,2023-08-06 01:00:00,3.3969817360000003,4.031187110218576,3.3920761911506143,2.178138799760368
series_1,2023-08-06 02:00:00,3.151902988,4.066768058832176,2.8558295123809017,2.8953134960746283
series_1,2023-08-06 03:00:00,3.266404304,4.802995289508922,3.8979856315404735,2.806148921092555
series_1,2023-08-06 04:00:00,3.263779632,5.772175082135533,5.7565507854619185,0.42441516610992375
series_1,2023-08-06 05:00:00,3.294291444,6.6996825837457505,6.69647251005981,0.20737079099861744
series_1,2023-08-06 06:00:00,3.454068352,6.171812812936203,5.419697561046976,-2.9526516463519608
series_1,2023-08-06 07:00:00,3.665354448,5.7074789601951075,3.968072612834153,-4.102403663749506
series_1,2023-08-06 08:00:00,3.475721896,5.591845905432704,4.132267697065769,-3.767373662100863
series_1,2023-08-06 09:00:00,3.3313649360000004,5.421162859352925,4.371910387392884,-3.2055274624051777
series_1,2023-08-06 10:00:00,2.974737628,5.079788098758871,3.993550863178957,-3.139394628187873
series_1,2023-08-06 11:00:00,2.978018468,5.267296319989756,5.027959121566275,-1.5697253245189444
series_1,2023-08-06 12:00:00,3.027887236,5.730464520512014,5.483586455619892,-1.663881968346632
series_1,2023-08-06 13:00:00,2.912401668,5.938342950923151,5.62775485104596,-1.895334360820628
series_1,2023-08-06 14:00:00,2.66732292,5.779679370073437,5.719500441991295,-0.8318703714605151
series_1,2023-08-06 15:00:00,2.533792732,5.893815604576515,5.712160789325759,1.4519922512324088
series_1,2023-08-06 16:00:00,2.398622124,6.414189938043324,6.2777260637470205,1.3160501623599183
series_1,2023-08-06 17:00:00,2.600721868,6.432470530946255,5.935762102606666,2.4785893957552743
series_1,2023-08-06 18:00:00,2.527559136,6.89513310973473,6.472255137196407,2.3775563168923783
series_1,2023-08-06 19:00:00,3.084973852,6.597365644365986,5.552081915884482,3.563652598776867
series_1,2023-08-06 20:00:00,3.27755916,6.42104260878021,5.707211241651015,2.9423677586160513
series_1,2023-08-06 21:00:00,3.139435796,6.696656952795331,5.342194158780314,4.038090627179575
series_1,2023-08-06 22:00:00,3.182086716,7.5619791868904604,6.064563134276927,4.517145471792304
series_1,2023-08-06 23:00:00,3.647309828,7.2236274328146655,5.811378159556829,4.290533437084307
series_1,2023-08-07 00:00:00,3.3585959080000003,7.723244871098777,5.8431022424042816,5.050412609259132
series_1,2023-08-07 01:00:00,3.817585424,7.086366603281129,5.675800190142288,4.242862693710332
series_1,2023-08-07 02:00:00,3.93372716,7.13909963643886,6.444632558126623,3.0713929754650025
series_1,2023-08-07 03:00:00,3.70078752,7.140503424217627,6.212500497511919,3.5201742456415164
series_1,2023-08-07 04:00:00,3.530840008,6.52381085714881,6.180714052854815,2.0877935474312808
series_1,2023-08-07 05:00:00,3.713254712,5.688349031322426,5.6883447744702424,-0.006959087862182911
series_1,2023-08-07 06:00:00,3.2696851440000003,4.333561459275424,4.299249703543878,-0.5442489392688085
series_1,2023-08-07 07:00:00,2.92979012,3.2955147755600556,3.207558598004603,-0.756297214262615
series_1,2023-08-07 08:00:00,3.031168076,2.4189615685939176,2.391315088821369,-0.36467412344392386
series_1,2023-08-07 09:00:00,2.751968592,2.7104847835804535,2.262751160081404,-1.4922080785103122
series_1,2023-08-07 10:00:00,2.517388532,2.8055919486345755,2.496105172254168,-1.280939167677039
series_1,2023-08-07 11:00:00,2.487532888,2.4757129622758214,2.3829867540082583,-0.6712144231180578
series_1,2023-08-07 12:00:00,2.647965964,1.8552819824849942,0.9722778076736224,-1.58010983771345
series_1,2023-08-07 13:00:00,2.452099816,1.6037899366341795,0.6746961317353597,1.454966422523354
series_1,2023-08-07 14:00:00,2.729986964,2.076762394241159,0.5387724921333783,2.0056585561492413
series_1,2023-08-07 15:00:00,2.69685048,2.864463699240742,0.8034962554398913,2.749462866045299
series_1,2023-08-07 16:00:00,2.9609581,1.6516759719458056,0.3701525085604237,1.60966475910655
series_1,2023-08-07 17:00:00,3.2726379000000003,2.5940953478662845,-2.3373408629644543,1.1252414692580786
series_1,2023-08-07 18:00:00,2.913714004,3.4461818612282586,-2.1509187612262575,2.692530019008807
series_1,2023-08-07 19:00:00,2.732283552,4.287133232892909,-1.7303625303301855,3.9224172228619594
series_1,2023-08-07 20:00:00,2.752296676,5.3812696414008325,-1.4018995229159446,5.195453847462249
series_1,2023-08-07 21:00:00,2.619422656,5.177800797229799,-1.459447016225635,4.967860253934649
series_1,2023-08-07 22:00:00,2.622375412,4.285548062503185,-1.7124392886053195,3.9285460260592227
series_1,2023-08-07 23:00:00,2.530839976,3.143145637276887,-1.278417012491543,2.8714133173935315
series_1,2023-08-08 00:00:00,2.462926588,3.07064434522879,-2.0861604824439497,2.2531735699618824
series_1,2023-08-08 01:00:00,2.227362276,3.0024758220059717,-2.2685087254147884,1.9669085450135722
series_1,2023-08-08 02:00:00,2.160105056,3.157689376470043,-2.7731640489756844,1.5101534212590975
