epoch,loss,val_loss
1,0.002366534242173657,0.001497435662895441
2,0.0016981204389594495,0.0013334885938093067
3,0.001195527706295252,0.0015409757965244354
4,0.0008563311595935375,0.0017400181211996823
5,0.0006972706556553021,0.0019275887578260153
6,0.0006033533572917804,0.0020417838357388975
7,0.0005480643798364326,0.0021080920821987094
8,0.0005025340084102936,0.0021901198662817476
9,0.0004672858951380476,0.0023155698319897054
10,0.00043819794955197723,0.0023703228100202976
11,0.0004248535318765789,0.002510098950006068
12,0.00039961948932614176,0.0025317644001916053
