epoch,loss,val_loss
1,-2.486506927013397,-2.6895268619060517
2,-2.7475111722946166,-2.9700780868530274
3,-2.8101951003074648,-3.0163720846176147
4,-2.8673978805541993,-3.0492846846580504
5,-2.9165493488311767,-3.0597771883010862
6,-2.9723203420639037,-3.0459834575653075
7,-3.0343579769134523,-2.9836776852607727
8,-3.1015426874160767,-2.863687443733215
9,-3.1723305225372314,-2.723487436771393
10,-3.242592990398407,-2.5657400608062746
11,-3.2733513712882996,-2.3959150314331055
12,-3.3457079410552977,-2.196481907367706
13,-3.3717332005500795,-1.9534247040748596
14,-3.414757287502289,-1.7242350578308105
15,-3.4471511960029604,-1.4802981913089752
