lead_time,WSPD_MAE_winter,WDIR_MAE_winter,WSPD_MAE_summer,WDIR_MAE_summer
1,2.36152961642896,36.8720014089031,1.55939862703622,69.661510137355
2,2.50190970516045,36.5801485732768,1.77354456322331,67.5748628033814
3,2.81686767643639,33.7341488831238,1.82947974813685,64.4582678987869
4,2.89373358322563,35.7090279790651,1.81304764183048,58.2366613506669
5,2.76131724386059,31.8584020121383,1.7311261897703,70.4025010535347
6,2.86287026705215,35.5794246715962,1.40915881115477,60.686669265944
7,2.67839834874889,31.9656445386667,1.27797860851079,55.7799076819306
8,2.6221356322207,39.1254836567823,1.18648182629849,46.5591940405176
9,2.13810256170684,31.9508123760908,1.23803304559029,49.2912100247889
10,1.87154609232652,26.7324957519441,1.51129898367637,53.6708901309489
11,1.84756427812658,28.8927653225381,1.73328608081057,52.7130924070757
12,1.80183331972149,32.9165529525318,1.83656881898883,56.3161881602186
13,1.79916193937968,33.9593718892748,1.98950416168821,55.3822217931825
14,1.79060277771124,38.8142224098569,1.81298813921508,57.2450927354296
15,1.67062440540998,39.0137896486342,2.0150902324648,53.360634995602
16,1.92522896171188,36.5068288290665,1.91222012998928,47.6470668706087
17,2.3021760745261,38.6830009657277,1.70220998188022,37.9522584537623
18,2.73120504129654,42.0728076677751,1.53252980783707,37.0032934403374
19,2.93065007478951,43.7388416337931,1.53422889844528,42.2234416807196
20,3.08035480474762,42.2455694482548,1.57012321958189,45.4171865469914
21,3.18269033944832,41.8751881549797,1.73974731163074,51.3758209920636
22,3.14908763029452,45.8505313217177,1.61787500114937,51.1309154124443
23,2.79265314009268,42.6039331304171,1.80442347346468,58.8600342290164
24,2.71934059648536,44.0053582397907,1.83719400730827,63.373314264909
25,2.89299809200359,40.0954906213326,2.02685816143516,74.780794120876
26,2.95178840376056,41.3822819298289,2.17526029904521,71.1656427976337
27,3.20184856620394,40.8155463535266,2.08823795535549,68.5677698292072
28,3.34215807877981,39.8202680436239,2.02964026618846,64.1261685556917
29,3.17321941650246,37.5380754588205,2.00135978230228,71.2942970527533
30,3.23041733163557,38.7227434624759,1.60795662498711,63.5685020793435
31,3.02975033677195,36.4137669918116,1.4210244722028,52.8752408862894
32,2.95822023372998,41.476367288912,1.23031260163443,48.9995954219274
33,2.45441427717506,34.8566443526833,1.30972180754406,50.8377326310097
34,2.23937367017992,31.5898428120675,1.47462401363971,52.3689338184241
35,1.98364701003954,32.0282127611273,1.56608127930429,51.4196472266252
36,1.94322049667217,35.8765578998064,1.67971913875278,57.5800257740463
37,1.81435953764275,33.6209322013081,1.68485871500346,47.6046676760503
38,1.76291947292516,33.3734101162216,1.8693324230496,44.9345334310657
39,1.90704462683755,39.8816842303812,2.13743721330439,51.1604057563263
40,1.98738613551198,34.4933496677678,1.82743207372386,39.5779538513707
41,2.34917190167572,36.9553885941855,1.6608971631599,36.586257003633
42,2.92709400448373,43.8789357677141,1.64179934812879,40.735805003881
43,2.89900958366144,36.1324170156383,1.33869244527248,36.3505960899184
44,2.94946293121432,36.8078626328889,1.33040806778455,42.2612993321999
45,3.14340549784429,46.1429060095748,1.6138897655701,55.7316268398329
46,2.95089485529514,38.8407807915576,1.49363287220252,50.8624420686737
47,2.85761105648351,37.4705460937806,1.53277117525726,53.9945906897256
48,2.89272864691828,44.3504383329733,1.77311879254927,63.9329816750091
49,2.89713528255471,35.1492776565618,1.79562925512941,55.0323997923382
50,3.05534080702871,34.6524997885937,1.92959317680028,56.9919688833044
51,3.32072686009227,39.705772634965,2.19948677533149,67.4340215242225
52,3.23115500306503,33.2931728158268,1.79441573165216,53.3812860948392
53,3.21988303128845,31.8779103928438,1.55954758164211,52.6471721306395
54,3.2584102004445,36.023807341074,1.5788694140955,61.9319709353922
55,2.86453675803855,32.4194855994069,1.33072516482661,49.9473675381196
56,2.61473504825367,32.3555734832808,1.21988433173537,43.002851529653
57,2.48701882924793,34.9013248921412,1.28244741281853,49.260306793164
58,2.19305530128599,28.2298592504115,1.21514249077744,45.0064971906792
59,2.05788567880454,27.2100687661139,1.37047341293355,45.8874568510208
60,2.12851846009837,34.3306753964312,1.71050982680883,55.3452043755204
61,1.86900199440487,32.3625293353249,1.70401254848723,47.9455635625191
62,1.78670081521598,33.413294895108,1.82428585703962,46.3398097548335
63,1.88308632602513,40.5706408028812,2.03249983814593,49.2638453989831
64,2.01770998912474,32.8013121866947,1.70781624561551,42.6778568904662
65,2.36740637792136,34.482721885904,1.51581104835369,40.8579358144953
66,2.91044062978296,41.9138348825038,1.57880618115521,42.0500271518095
67,2.77509909636131,32.4664210377862,1.33739228093291,36.2133548437888
68,2.91539069772603,34.9114277277029,1.4655603373696,42.7947299625054
69,3.19990042721667,46.3072339773522,1.8054078555946,57.6946845034209
