TmStamp,u10,v10,WSPD,WDIR,u_e,u_n
2024-07-01 00:00:00,0.8892523726467384,-2.443200814043362,2.6,340.0,0.31686029285338313,-2.5806199942674373
2024-07-01 01:00:00,2.0500000000000016,-3.550704155516197,4.1,330.0,1.1987239893632227,-3.9208494994484444
2024-07-01 02:00:00,1.671247785185003,-1.9917155521093424,2.6,320.0,1.1803752993228225,-2.316616962889756
2024-07-01 03:00:00,-0.0,-0.25,0.25,0.0,-0.05623776358596625,-0.2435925161963088
2024-07-01 04:00:00,1.9926415900282728,-2.374737773668832,3.100000000000001,320.0,1.407370549192596,-2.7621202249839407
2024-07-01 05:00:00,1.8000000000000016,-3.117691453623978,3.6,330.0,1.052538137001854,-3.442697121466927
2024-07-01 06:00:00,2.120524888619145,-5.826094248872632,6.2,340.0,0.7555899291119135,-6.153786140176196
2024-07-01 07:00:00,2.021091222763061,-4.309607028961182,4.759991856589831,334.8746701977477,0.9998401406879648,-4.653798681493494
2024-07-01 08:00:00,2.433042049407959,-5.728456020355225,6.223736979607292,336.98765538791713,1.082061117765466,-6.12895143795017
2024-07-01 09:00:00,2.079015016555786,-5.760297775268555,6.123996562607487,340.15439949874656,0.729944938489657,-6.08033833644162
2024-07-01 10:00:00,1.8109521865844729,-5.557554721832275,5.845165721196902,341.9515864671655,0.5143598051153806,-5.822490558097709
2024-07-01 11:00:00,1.7945507764816284,-5.83941650390625,6.10894406550457,342.91692750922715,0.4349736570341216,-6.0934387264622485
2024-07-01 12:00:00,1.6586352586746216,-6.250234127044678,6.466567680322582,345.13787534316737,0.2101277876751595,-6.463152781502176
2024-07-01 13:00:00,0.7953710556030273,-6.20932149887085,6.260054999153826,352.70055717445103,-0.621807670954803,-6.229096548679637
2024-07-01 14:00:00,0.0631213337182998,-5.755190372467041,5.755536510709292,359.37162095751415,-1.233132604211692,-5.621884426643596
2024-07-01 15:00:00,-0.2178442329168319,-5.078658580780029,5.083328544363992,2.4561423932818798,-1.3547105017392482,-4.899488600499356
2024-07-01 16:00:00,-0.2444079518318176,-4.105169773101807,4.1124389494444005,3.4071754137219727,-1.1616060605802112,-3.944974711317005
2024-07-01 17:00:00,-0.0098596196621656,-3.436037540435791,3.43605168636677,0.1644082863258518,-0.782547185735114,-3.3457541890404885
2024-07-01 18:00:00,0.3143835365772247,-3.0882396697998047,3.1042005840789364,354.18730032002287,-0.3883768628858538,-3.079809195156569
2024-07-01 19:00:00,1.0000146627426147,-2.666374444961548,2.847732783539254,339.441614143998,0.37458060905306867,-2.822989793422155
2024-07-01 20:00:00,1.2036060094833374,-0.9873181581497192,1.5567480757902217,309.3620332266408,0.9506594047875558,-1.2327656985678699
2024-07-01 21:00:00,1.469330906867981,-1.2571215629577637,1.933723852552596,310.54944159586836,1.1488812298901467,-1.555429155422052
2024-07-01 22:00:00,1.4648998975753784,-1.854663133621216,2.363410046760829,321.6966665229381,1.0101461807436167,-2.136659014129093
2024-07-01 23:00:00,1.436926245689392,-2.545212507247925,2.9228177744434016,330.5526468292755,0.8275496820693649,-2.803216949561552
2024-07-02 00:00:00,0.8021631240844727,-2.8698291778564453,2.9798297246180296,344.38347276309634,0.1360326358369197,-2.9767230824691135
2024-07-02 01:00:00,0.5587402582168579,-2.927504777908325,2.9803481173896973,349.19454526426193,-0.11412550479030126,-2.978162230299866
2024-07-02 02:00:00,0.4900976419448852,-3.2102341651916504,3.2474296134025247,351.31983350347474,-0.2446090890176303,-3.238204052800508
2024-07-02 03:00:00,0.5566308498382568,-3.1020092964172363,3.151555104714277,349.82699523233026,-0.15543582459516525,-3.147719695665902
2024-07-02 04:00:00,0.9323437213897704,-3.243215322494507,3.374568186135535,343.9613732690061,0.17888310595334045,-3.3698236270289517
2024-07-02 05:00:00,1.088259220123291,-3.4339160919189453,3.6022337315231554,342.4158149760105,0.28790416140912933,-3.590710103916291
2024-07-02 06:00:00,0.7802221775054932,-3.4977855682373047,3.583748111634044,347.4253625276017,-0.026605417800832032,-3.5836493521805703
2024-07-02 07:00:00,0.4829223752021789,-3.5699095726013184,3.602425346488313,352.2960334328409,-0.3325098162569363,-3.5870469190009517
2024-07-02 08:00:00,0.0014257840812206,-2.9932861328125,2.9932864723824646,359.9727084546722,-0.6719536302014535,-2.916889134781599
2024-07-02 09:00:00,-0.3020556569099426,-2.271215915679932,2.2912135115499668,7.575479456938069,-0.8052264048668551,-2.1450570604098926
2024-07-02 10:00:00,-0.2304126024246215,-1.5233252048492432,1.5406523446530938,8.601151872962873,-0.5671807532912345,-1.4324509206884064
2024-07-02 11:00:00,-0.8309887647628784,-0.4504467844963074,0.9452220018732093,61.539596104052976,-0.9110190556560565,-0.25197006381065234
2024-07-02 12:00:00,-0.8329687118530273,0.4956274330615997,0.9692695328593188,120.75320686750558,-0.7001278641033579,0.6703017240283603
2024-07-02 13:00:00,-0.5410571098327637,1.2461377382278442,1.3585293735271942,156.5301292742589,-0.24686985308822923,1.3359106760455157
2024-07-02 14:00:00,-0.3142504692077636,1.5684643983840942,1.5996355604936014,168.67048361022853,0.046631470076558657,1.5989557318431855
2024-07-02 15:00:00,-0.3027856349945068,1.7430298328399658,1.7691331603158498,170.14536027468398,0.09707113986452492,1.7664680389790663
2024-07-02 16:00:00,-0.4915991425514221,1.7330907583236694,1.8014642082329044,164.16376885701663,-0.0891388950176773,1.7992574998980086
2024-07-02 17:00:00,-0.3250244259834289,1.8684399127960205,1.8964990338028276,170.13186087817246,0.1036134573593665,1.8936665061908597
2024-07-02 18:00:00,-0.4076513648033142,1.7463769912719729,1.7933243518310216,166.86089370640775,-0.0043539412646977915,1.7933190664423373
2024-07-02 19:00:00,-0.4001294076442718,1.43966805934906,1.4942381550380932,164.46770136619693,-0.06601926899306981,1.4927789923807426
2024-07-02 20:00:00,-0.4039599895477295,1.1854588985443115,1.2523962924303529,161.1828126279529,-0.12693629207740437,1.245946889336353
2024-07-02 21:00:00,-0.5248218178749084,1.5727001428604126,1.65795768337756,161.5457594829145,-0.15759011338028256,1.6504511613602735
2024-07-02 22:00:00,-0.32476806640625,1.9543969631195068,1.9811970589540067,170.56519884220393,0.1231993755557475,1.9773628145261253
2024-07-02 23:00:00,0.44830322265625,1.883369207382202,1.9359895017172595,193.3891000049692,0.8604791290223957,1.7342522940092375
2024-07-03 00:00:00,1.260534644126892,1.373369216918945,1.8641594875505332,222.54698931265244,1.5371680762112783,1.0546112556300473
2024-07-03 01:00:00,1.4335205554962158,0.7036646008491516,1.5969110975625334,243.85520947754196,1.555069610395286,0.36315776233398783
2024-07-03 02:00:00,1.6775000095367432,0.3401391506195068,1.7116369135362597,258.5377909424362,1.711020453525034,-0.045933989582010226
2024-07-03 03:00:00,2.0231518745422363,0.1182104498147964,2.0266023827848376,266.6560749936458,1.99789018838839,-0.33992942363170797
2024-07-03 04:00:00,1.7709888219833374,-0.2384204119443893,1.7869655006243577,277.6673784806546,1.671965570165843,-0.6306955149687283
2024-07-03 05:00:00,1.5123291015625,-0.4858373999595642,1.5884512238757311,287.80967268626085,1.3642785693054638,-0.8135854447850853
2024-07-03 06:00:00,1.237592697143555,-0.2164160162210464,1.2563723875109827,279.9189365246424,1.1571902654676762,-0.4892670698165738
2024-07-03 07:00:00,1.1415526866912842,0.3682397305965423,1.1994761505265135,252.1214430391602,1.195130680936139,0.1020082896975743
2024-07-03 08:00:00,1.0291967391967771,0.9759179949760436,1.4183306599278391,226.5220720306515,1.2223522753709282,0.7193863883803017
2024-07-03 09:00:00,0.7602246403694153,1.5973583459854126,1.7690379276075625,205.45099937724643,1.1000675761824703,1.3854048206737573
2024-07-03 10:00:00,0.0787573233246803,2.21197247505188,2.21337410899387,182.0391559523853,0.5743243186727095,2.1375632209002697
2024-07-03 11:00:00,-0.6246923804283142,2.766029119491577,2.8356935060123374,167.27357171928782,0.013539611586683487,2.8356611819747832
2024-07-03 12:00:00,-0.4787279963493347,3.139338254928589,3.1756298860772056,171.32957466621747,0.23973922157080824,3.1665675863602454
2024-07-03 13:00:00,-0.3431591987609863,3.2188305854797363,3.2370709868203544,173.9146879077723,0.3897152832295554,3.2135261896756675
2024-07-03 14:00:00,-0.2874902188777923,3.74575424194336,3.75677061676476,175.611098567819,0.5624895028450876,3.714422031242029
2024-07-03 15:00:00,-0.127795398235321,4.444597244262695,4.446434113704786,178.35302959095088,0.8752968257729256,4.3594302144098505
2024-07-03 16:00:00,0.0726025402545929,4.635485649108887,4.636054176985624,180.8973124623107,1.1134991260143399,4.500346434254941
2024-07-03 17:00:00,0.3423583805561065,4.41008996963501,4.423358769194776,184.4390086083791,1.3256381458629207,4.220045770752427
2024-07-03 18:00:00,0.1761938482522964,4.007119178771973,4.010990948013236,182.51768540992413,1.0730836954826277,3.864781981888949
2024-07-03 19:00:00,-0.1898852586746215,3.659135818481445,3.6640594085734746,177.02938776477845,0.6381079485582504,3.608067293654954
2024-07-03 20:00:00,0.2851464748382568,4.229316711425781,4.238918300422653,183.85712464820523,1.229227442550791,4.056775597951914
2024-07-03 21:00:00,0.3468823134899139,4.015212535858154,4.030168612790858,184.93763821244343,1.2412180356240154,3.834271356537803
2024-07-03 22:00:00,0.2760546803474426,3.856823921203613,3.866690696928077,184.09400091562696,1.1365760242677974,3.6958749825676933
2024-07-03 23:00:00,0.5495507717132568,3.796374559402466,3.835943931546563,188.23673550092948,1.389464280858833,3.5754516998816177
2024-07-04 00:00:00,1.2361083030700684,3.788681745529175,3.9852318760424414,198.06961085399902,2.056694880574092,3.413514211783083
2024-07-04 01:00:00,1.7199366092681885,4.126271724700928,4.470380329006395,202.6276345527893,2.6040639203798945,3.6336140940588364
2024-07-04 02:00:00,1.9974098205566408,3.8909082412719727,4.373649841180049,207.17383764093074,2.821480247487803,3.341865070030571
2024-07-04 03:00:00,1.7133032083511353,3.604438543319702,3.9909128149227904,205.4232135253979,2.480213608755279,3.1266476538395027
2024-07-04 04:00:00,1.7720727920532229,3.389357805252075,3.8246553194187927,207.60211553883295,2.4890942930371143,2.903859141337358
2024-07-04 05:00:00,1.5852197408676147,3.311525821685791,3.671392773121413,205.58033033685672,2.2895218866831644,2.870054777339085
2024-07-04 06:00:00,1.5677709579467771,3.389023542404175,3.7340844055204614,204.82538180728326,2.289953508923011,2.9494913586112244
2024-07-04 07:00:00,1.3579566478729248,3.27636981010437,3.546638604378182,202.51253476340227,2.0601751501668697,2.8869228844395085
2024-07-04 08:00:00,1.1875048875808716,3.095421314239502,3.3153885097642273,200.98844765647416,1.8533875025216053,2.7489553899933314
2024-07-04 09:00:00,0.9077515006065368,3.033717155456543,3.1666153170482767,196.65828078164705,1.566923761155906,2.7517635241586054
2024-07-04 10:00:00,0.6369677782058716,3.133417844772339,3.1975045489272182,191.49063591241898,1.3255079831979812,2.909821975119556
2024-07-04 11:00:00,0.299846202135086,3.1271848678588867,3.1415271672707905,185.47699038056444,0.9956246965530073,2.9795846029797795
2024-07-04 12:00:00,0.2335143983364105,3.371164321899414,3.3792422019556323,183.96244476298358,0.9858764080130274,3.232232288620557
2024-07-04 13:00:00,0.3836975395679474,3.708043098449707,3.7278421937940185,185.90777501789768,1.2079916010355098,3.5266930279879287
